id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
4448,3640.4818,1656.3465,0.62968886,-0.89880115,0.023520807,25,0,7,1.1307889,-0.13345386
4449,4514.9558,1656.1305,0.57206839,-0.45383248,-0.11278251,25,0,24,4.3431578,-1.594514
4450,4915.4941,1655.5941,0.4760906,-0.47692305,-0.138654,25,0,37,7.0643644,-2.1226827
4451,5431.3483,1656.5054,0.5194118,-0.31584603,0.47406971,25,0,11,1.7208774,-0.58937483
4452,2385.4731,1657.0096,0.44922735,0.12473156,0.44961469,25,0,7,1.2815251,-0.26931782
4453,2990.8847,1656.0707,0.69536117,0.62258923,-0.055206488,25,0,7,1.0675676,-0.070988449
4454,3340.939,1656.8691,0.47742081,-0.35210332,0.21139355,25,0,7,1.4279759,-0.38680219
4455,5105.401,1656.7641,0.49378721,-0.59422207,-0.0083242425,25,0,11,2.0863097,-0.79844693
4456,4882.0376,1658.466,0.53298623,-0.037795436,0.12533057,25,0,146,27.117029,-3.5831053
4457,1537.5554,1658.2909,0.44464288,-0.36177316,0.54389379,25,0,331,45.690632,-4.1495679
4458,5158.3592,1659.2379,0.50591399,-0.24605076,-0.19668114,25,0,14,2.5453761,-1.0143799
4459,6988.0251,1658.3218,0.4349536,-0.15596269,-0.12595222,25,0,14,2.3685126,-0.93618926
4460,7573.2395,1659.4941,0.41955015,0.4749054,-0.012197805,25,0,9,1.3721747,-0.34352355
4461,5430.3024,1659.7144,0.54123204,-0.17771243,0.11673633,25,0,21,3.610904,-1.3940398
4462,6784.479,1660.5176,0.50647621,-0.28068396,0.0092205786,25,0,17,2.9014988,-1.156556
4463,8411.6479,1661.338,0.44914106,0.62694091,0.54442431,25,0,13,1.7877337,-0.63075705
4464,8748.0781,1661.461,0.33146538,0.96894574,0.40219763,25,0,26,3.382231,-1.3230082
4465,9407.1544,1661.8464,0.5194118,0.9390043,0.44974855,25,0,10,1.7208774,-0.58937483
4466,754.00683,1662.519,0.46136654,-0.58298057,0.83235234,25,0,60,7.8480458,-2.2369038
4467,4724.5949,1661.2173,0.42981892,0.70051801,0.27855155,25,0,5,1.0926621,-0.096214695
4468,5737.5788,1661.5637,0.46773533,0.40052047,0.026089158,25,0,14,2.6235814,-1.0472364
4469,5799.0149,1661.7392,0.41522803,-0.13261701,0.031091287,25,0,11,2.0067153,-0.7562144
4470,7254.5023,1662.2716,0.50129459,-0.022233419,-0.062984373,25,0,237,37.47472,-3.934346
4471,1715.9593,1663.1386,0.50171445,-0.43601525,0.13425558,25,0,5,1.056869,-0.060052929
4472,6325.7916,1662.8306,0.45933997,-0.06549228,-0.045190977,25,0,31,5.6069207,-1.871811
4473,6608.1318,1663.3108,0.38589095,-0.0055056685,-0.20189951,25,0,7,1.2955645,-0.28114763
4474,8167.793,1663.7928,0.52928719,0.57319677,0.16931472,25,0,10,1.3166677,-0.29869043
4475,417.32988,1663.2496,0.47363249,-0.043913286,0.91867012,25,0,54,7.5808268,-2.1992914
4476,2175.0052,1663.8543,0.45904687,-0.35897565,-0.032709597,25,0,11,1.8151619,-0.64728844
4477,3478.6443,1663.7862,0.45372672,-0.59622711,-0.13765982,25,0,7,1.5025463,-0.44206967
4478,3847.9408,1663.5586,0.52664075,0.0022024002,0.13538342,25,0,32,5.7246423,-1.8943709
4479,4313.0118,1664.3958,0.56293946,-0.14737539,0.13441143,25,0,27,4.7634463,-1.6948032
4480,4377.0154,1663.3877,0.49762238,0.6872853,0.04449854,25,0,5,1.0351154,-0.037471884
4481,8931.8948,1663.3153,0.5637175,0.36461616,0.39912132,25,0,7,1.1287493,-0.13149369
4482,687.1069,1666.0485,0.62444585,-0.43743306,0.94653488,25,0,31,4.0516453,-1.5190785
4483,2223.2899,1665.0308,0.46206447,-0.25671044,0.34124909,25,0,8,1.5082209,-0.44616239
4484,4770.723,1664.6875,0.424604,-0.056159008,0.012098424,25,0,18,3.2825661,-1.2905337
4485,8167.803,1663.9267,0.58119161,0.53400379,0.564791,25,0,11,1.4858167,-0.4299131
4486,9357.6461,1664.3421,0.40014066,0.93502599,0.94794205,25,0,20,2.8017459,-1.1185719
4487,2064.8046,1666.2022,0.45992714,-0.34697598,0.25044823,25,0,657,99.016975,-4.9892741
4488,5800,1666.5164,0.69224952,-0.35114411,0.43262993,25,0,17,2.2541575,-0.88246066
4489,2387.2175,1667.0976,0.68871728,-0.11536229,0.084987856,25,0,10,1.473817,-0.4211089
4490,2510.3334,1667.0853,0.56511543,-0.23749302,0.040865434,25,0,9,1.4744676,-0.42158811
4491,3548.0946,1667.3294,0.5437897,-0.12368352,0.030796864,25,0,38,6.7420831,-2.0719852
4492,6413.9542,1666.5919,0.30017728,-0.46172327,-0.16977825,25,0,5,1.1103364,-0.11363647
4493,3746.5193,1667.9623,0.51704555,-0.12770468,0.11001836,25,0,7,1.2892394,-0.27583393
4494,6125.5259,1667.9461,0.5207773,-0.015835339,-0.12582694,25,0,94,16.901833,-3.0698345
4495,425.03642,1667.5859,0.45985692,-0.018237239,0.91702364,25,0,9,1.4166268,-0.37813864
4496,759.43534,1669.0638,0.54161821,-0.7635265,0.26391607,25,0,7,1.2307481,-0.2254229
4497,1618.3533,1669.3378,0.44892268,-0.70614684,0.49750555,25,0,7,1.012417,-0.013398528
4498,5135.2657,1669.0309,0.55580012,-0.11437176,-0.26437755,25,0,5,1.1448283,-0.14685091
4499,3743.5761,1669.8048,0.33905594,0.36234722,-0.026839938,25,0,5,1.2511126,-0.24324098
4500,4025.1143,1670.1255,0.4826284,-0.42567936,-0.14563697,25,0,5,1.0672736,-0.070689434
4501,6406.2843,1670.4859,0.5843496,0.40351465,0.18701321,25,0,15,2.437052,-0.96716199
4502,8026.511,1669.8377,0.40652154,0.22739616,0.016035542,25,0,6,1.0434802,-0.046210488
4503,4783.0891,1671.3419,0.46433321,-0.1566743,0.10441326,25,0,9,1.7292422,-0.59463957
4504,8500.8412,1670.9625,0.49378721,0.74612856,0.29358374,25,0,16,2.0863097,-0.79844693
4505,1829.2458,1671.9539,0.34311054,-0.39707038,0.39398764,25,0,17,2.7817378,-1.1107905
4506,5046.6898,1671.8315,0.50752271,0.071528211,0.021081616,25,0,17,3.4029777,-1.3296478
4507,8207.807,1671.9313,0.60638108,0.62511098,0.12342777,25,0,11,1.449079,-0.40273018
4508,9235.6135,1672.6712,0.46677877,0.48968515,0.60408604,25,0,10,1.3307071,-0.31020616
4509,6658.4421,1672.4567,0.44760535,-0.56501883,0.30828084,25,0,9,1.895407,-0.69425618
